video_id,title,title_length,word_count,emoji_count,has_emoji,special_char_count,is_clickbait,has_question_mark,has_exclamation,top_noun_1,top_noun_2,top_noun_3
u1POWrsD57w,VLOG) 좀 덜 된 브이로그에 치즈 뿌리기🧀🧡 치즈인이유 뿌링클 치즈떡볶이 etc. 먹방 mukbang blog,63,22,2,1,2,0,False,False,치즈,이유,링클
5zxoJZ2D31E,혼자서도 잘 놀아 | jeju vlog,21,7,0,0,1,0,False,False,혼자,서도,
h3zXYPUr78M,반지하 사는 여자의 중소기업 출근 브이로그,23,8,0,0,0,0,False,False,반지하,여자,중소기업
4p497_IPaSU,"(eng)케이팝의 축복이 끊이질 않는 뉴욕 일상 브이로그, 한국에서 온 택배, 마케팅 인턴 일상",53,22,0,0,4,0,False,False,일상,케이팝,축복
3bOD8q4XIYk,[vlog] 생일 주간 브이로그🎂 | 새학기 바쁜 고등학교 생활🤯| 미슐랭 2스타 에빗| 대왕 인생네컷📸| 더바넷 팝업 봄맞이 쇼핑 | 한남동 데이트 | 직장인 브이로그 출근룩,98,41,3,1,8,0,False,False,생일,주간,학기
pj-d2CBrC8s,어떤 영상으로 돌아와야 할지 몰라 일단 냅다 술부터 들이부었습니다.,37,13,0,0,1,0,False,False,일단,,
Ki0kBL8K7iA,해고당함 l 회사원브이로그 l 직장인브이로그 l 키보드ASMR l 쇼핑몰CS l vlog,49,19,0,0,0,0,False,False,해고,회사원,직장인
3vzYvLtK7Qc,vlog. 저는 아직 학교 갈 준비가 안 됐어요.. | 07년생 브이로그,40,17,0,0,4,0,False,False,학교,준비,
jnreKgVTcJ0,VLOG 반장 • 동아리부장 • 윤사1등 ••  고등학생 새학기 브이로그  |  교복 예쁘게 차려입기 • 새학기 쇼핑 • 공부자극  STUDENT VLOG,86,27,0,0,1,0,False,False,학기,반장,동아리
kDcEd4gXDUU,[VLOG] 내일 계획은 내일 짜면 되는고야~😙 | 찐친들과 제주도 (P여행의 정석),47,23,1,1,6,0,False,False,내일,계획,제주도
LEIAz8N9wH0,호주 유학생 OT주간 브이로그 | 간호대학 첫 오티 | 자율학습 시작 | 눈물의 공짜밥..🍚,51,22,1,1,5,0,False,False,호주,유학생,주간
qL1iH3MgBm4,"[마늘떡볶이편] 떠날준비 하다가 먹기만 하는🥦 먹방브이로그 (덕나 부부 집들이, 우촌 삼겹살, 무생채 비빔밥, 맘스터치 핫치즈빅싸이순살) MUKBANG VLOG",89,38,1,1,7,0,False,False,마늘,떡볶이,준비
HXQBzhJ6rNw,"[vlog] 도쿄여행 브이로그🗼충격적인 맛집만 팹니다..🔥갓성비 스시오마카세, 이마카츠, 아사쿠사 길거리음식, 에비스가든, 나카메구로, 몬자야끼, 야끼니쿠, 에그타르트, 타코야끼",99,46,2,1,12,1,False,False,도쿄,여행,충격
mcpEIs3ENSo,나 말고 송혜교 브이로그...,16,6,0,0,3,0,False,False,송혜교,,
YfQxt2Kb9MQ,고등학교 첫 모의고사 채점! 아니.. 내가 이걸 틀려? 미쳤네.. 근데 3모는 중요한 거 아니잖아요? 그렇다고 합시다!!!!! 학생vlog│헬로음이유니,84,33,0,0,12,0,True,True,고등학교,모의고사,채점
5m7M3e9LMgc,"vlog 딸빼고 엄마아빠 데이트👩‍❤‍👨리빙페어, 하이디라오 첫도전, 커트러리&잠옷 쇼핑",49,20,3,1,3,0,False,False,엄마,아빠,데이트
lUMPwtRhlbQ,24살이지만 갸루이고 싶어..🐆⭐️ 고등학교 찐친들과 롯데월드 눈치게임 성공한 브이로그 ⚞ ᴖ  ᴗ  ᴖ ⚟,60,25,2,1,2,0,False,False,살이,갸루,고등학교
X7MuK6q02dI,집도 없고 차도 없는 서민의 인생 첫 명품하울 브이로그,30,12,0,0,0,0,False,False,집도,차도,서민
ud4zr7kiU04,"[Vlog] Daily JUNGWON, 스무 살 브이로그 - ENHYPEN (엔하이픈)",48,16,0,0,6,0,False,False,스무,하이픈,
-o-v4m4ME2A,𝑉𝐿𝑂𝐺 ♡。·˚ 이 오타쿠가 밖에 있을 확률? 100% • 미쿠 피규어 • 성수 나들이 • 일상 브이로그 • 도원암귀 • 에반게리온,74,30,0,0,2,0,True,False,오타쿠,확률,미쿠
WnhLWFlIB40,대학원으로 복학해버린 노답 취준생 브이로그,23,9,0,0,0,0,False,False,대학원,복학,노답
GgRJsraT9HM,먹고픈건 어떻게든 먹어내는(?) 사람🙋🏻‍♀️ 먹방VLOG | 에드워드리치킨 크리스피크림 후와후와수건케이크&두바이 로제마라샹궈&크림새우 커피원베이글&맘모스빵 파운드마켓 떡튀순,97,43,3,1,7,0,True,False,사람,먹방,에드워드
2d1rvhytH5I,"Eng) 의사 Vlog | (강제로)아침형 인간이 되어버린 올빼미 디아, 보건소 의사의 하루 Pt.1 🩺 Day in the life of a Korean Doctor",93,34,1,1,6,0,False,False,의사,강제,아침
4rgJCRGikW0,흔한 이별 브이로그 뭐 그런거,16,6,0,0,0,0,False,False,이별,,
4yg_Ev7HJ38,[먹방vlog] 웃다가 가래끼는 그런 영상 _ 맥북 언박싱+혼자 야끼니꾸+닭볶음탕+감자탕+트러플파스타+와인먹고 만취+치킨난반+라면+김육삼,76,37,0,0,11,0,False,False,먹방,가래,맥북
wr1gJ_ODTOc,"어머님들.. 다들 살아 계시죠..? (개학브이로그, 초간단또띠아토스트)",39,20,0,0,8,0,True,False,어머님,계시,개학
k9wn8aw0sI8,태어나서 처음으로 비행기 탄 서뱅이 (feat.502호 가족여행),36,15,0,0,3,0,False,False,처음,비행기,뱅이
blIppAXegjI,"[일상 브이로그] 12첩 반상 차리는 아이 둘 엄마, 단골 질문 답변, 찹스테이크와 멕시코 음식 만들기, 부산 신상 맛집 발견",70,28,0,0,5,0,False,False,일상,반상,아이
KM7naycoJ2M,한국 카페에서도 스몰톡이 될까? | 카페 브이로그 上 🇬🇧🇰🇷,34,13,0,0,2,0,True,False,카페,한국,스몰톡
ipYoaQ63DHw,"브이로그 • 봄쇼핑 하울 • 눈썹관리템(탈색,펌) • 엄마랑 북촌데이트 • 어깨라인 운동🏋🏻‍♀️• 스틸레토 힐 • 서울맛집 • 아재맛집",76,35,3,1,3,0,False,False,맛집,쇼핑,하울
_Yc6fQoqz3k,빵순이들 이 영상 저장함. 택배로 오는 전국 빵 맛집 추천 | 빵 먹방 브이로그,44,20,0,0,2,0,False,False,순이,장함,택배
kuFVtsAkgzI,아빠같은 오빠랑 첫 1박2일 글램핑 데이트 vlog⛰️ (with. 베프) | 5살차이 커플의 일상이랄까..? | korean couple vlog,82,32,1,1,8,0,True,False,아빠,오빠,글램핑
IcV5N5eOQXA,[vlog] 객식구 가족 여행 ~ 후쿠오카 편!,26,11,0,0,4,0,False,True,식구,가족,여행
9V-hidQzBx4,고3 언니를 위해...어디까지?? 1년만 참자!! (feat. 간니 근황),41,20,0,0,10,0,True,True,언니,위해,근황
k3iwRrDkH-A,VLOG l 직장인의 여행준비는 인수인계부터.. 여행꿀템 대방출✈️🧳🏝️,40,16,3,1,2,0,False,False,여행,직장인,준비
QsQN-8hMZZ8,vlog 30대 직장인의 일상 | 월급 받고 먹고싶었던거 다 먹기!🤤 봄옷은 내가 준비할게! 누가 봄줄래?,59,24,1,1,4,0,True,True,직장인,일상,월급
zZzX0gMPiaI,Vlog 직장인브이로그 | 봄 맞이 자켓 추천 | 샤넬 22백 개시 | 던스트 우먼 | 유라고 | 로우클래식 | 오버듀플레어,69,27,0,0,6,0,False,False,직장인,맞이,자켓
G5tD4ANz1tk,"[vlog] 일상 브이로그 | 상하이 혼여 준비 | 시술데이💉| 오랜만에 겟레디윗미 | 미팅 가는 날 | 이가네양꼬치, 알라보, 화이트리에 식빵, 하이디라오 마라펀 ••",94,43,1,1,10,0,False,False,일상,상하이,준비
OIzpJVi8rzw,폭식 속았수다 | 고구마피자 베이컨포테이토 콘치즈 콤비네이션 비리야타코 명랑핫도그 고구마통모짜 공차 딸기말차 푸팟퐁구리 라면 돈까스 라구파스타 버팔로윙 | 먹방 브이로그 #138,99,38,0,0,3,0,False,False,고구마,수다,피자
SuWGN3kvVfo,"[🇰🇷vlog] 한국에서의 마지막 일주일을 심하게 알차게 보내버린 브이로그 ⎹ 느좋 을지로 데이트, 찌찌친구들과 쭈하 첫 만남, 눈물의 이별 ...✨",83,33,1,1,7,0,False,False,한국,마지막,일주일
kUMYdbo1dO4,나홀로 런던가서 여기저기 싸돌아다니는 브이로그 ep.3  🇬🇧🥯📮 (노팅힐 토트넘 비베이글? 다 가줄게….),60,23,2,1,5,0,True,False,홀로,런던,여기저기
mjHEpPO4p64,오사카 vlog 내가 먹은 것들 ..🥣,21,9,1,1,2,0,False,False,오사카,,
MfphnZ2di_0,vlog * 피시방 알바 브이로그 | 대한민국이 휘청하겠구먼... 🇰🇷,39,13,0,0,5,0,False,False,피시방,알바,대한민국
pN52Ph07YrI,"움직이는 작은 집, 나홀로 아늑한 자동차 캠핑/ 캠핑 브이로그 / 맛있는 수육 요리와 건강한 아침 식사",57,21,0,0,3,0,False,False,캠핑,홀로,자동차
77QNJaViUmA,블루투스 먹방  🍲 직장인 브이로그 부산여행 낙곱새 마라탕 조개구이 낙지탕탕이 밀면 회 어묵탕 돼지국밥 항정수육  복국 영양제추천 다이소 추천템 겟레디윗미 나이트루틴 일주일 출근,99,36,1,1,0,0,False,False,추천,블루투스,먹방
C5e_za2YKII,"복학, 그리고 개강 브이로그 (ft. 기숙사 생활)",28,12,0,0,4,0,False,False,복학,개강,기숙사
j5SXPIXQUHU,"CAMCORDOOR | 진짜로 불멍하고 왔어요 | 이한 나홀로 캠핑 Vlog🏕️ | '한태산' 선인장 첫 만남 | 바비큐, 마시멜로 - BOYNEXTDOOR (보이넥스트도어)",97,34,1,1,10,0,False,False,홀로,캠핑,태산
0_ASy3lASuo,돌싱 브이로그 | 무언가 안 풀리는 하루,22,8,0,0,1,0,False,False,돌싱,무언가,하루
GSvMRuZY2RQ,"사기꾼 잡기 브이로그 EP1. 중고나라  (배달테러, 전화테러)",35,15,0,0,4,0,False,False,테러,사기꾼,잡기
Do8mzmPYfEQ,우울해서 클럽 갔다 현타 씨게맞고 현생복귀 브이로그 *폭싹속았수다 현실리액션˙ᵕ˙՞°·.,49,21,0,0,2,0,False,False,클럽,현생,복귀
A69DgS0dpYQ,"30대 직장인 절약 브이로그 | 절약러 소비주간 | 워킹맘 시간활용 | 집 매도 팁 | 남편방 몰래 침입 | 요즘 듣는 강의 | 새똥테러 | 전통시장 | 냉파(두루치기,수육)",97,41,0,0,11,0,False,False,절약,직장인,소비
dTK4yjGHenk,여사친이랑 1박2일 호캉스 브이로그,19,10,0,0,0,0,False,False,호캉스,,
1qpAUZIJcOk,[VLOG] 경축! 예린 뒤집기 성공 👼🏻 그리고 승부욕 대장 태하오빠 👊🏻,42,18,4,1,3,0,False,True,경축,성공,승부
z85obtaLd3g,먹방브이로그) 꾹꾹 눌러왔던 식욕 ..🥹그날인거 알고 터트리기!!!! (투썸 스초생+갸또쇼콜라+크림빵/진짬뽕/라면먹방/곱도리탕+치즈돈까스/어글리베이커리/디저트먹방/폭식브이로그,97,53,1,1,17,0,False,True,먹방,꾹꾹,식욕
qFw70-LYQGQ,[HANIWAJJONG] I-GOYA in Hungary #1 | 브이로그의 탈을 쓴 밥이나 먹자요🍚🥢 | 여유낭만 넘치는 부다페스트 산책🏃✨,79,28,4,1,6,0,False,False,여유,낭만,부다페스트
J7bLQ69Fe-U,사춘기 와버린 9살 어린 동생을 위한 FLEX,25,11,0,0,0,0,False,False,사춘기,동생,
e_UtndJIdMM,[VLOG] 얼집가고 할찌 집가고 서울가고 외식하고 멈머 생일축하해주는 브이로그,44,18,0,0,2,0,False,False,서울,외식,멈머
73SZG-JJQM8,[VLOG] 개강 3주차. 무인양품 하울하고 전공 과목 과제하는 대학생 공부 브이로그 | 무채색. 오설록. 무인양품 하울,67,25,0,0,6,0,False,False,무인양품,하울,개강
51R5BmCoayU,"아 행복햌!! (먹방 브이로그) 아구찜,볶음밥,불닭볶음면,참치마요덮밥,상하이버거,설빙두바이초코잔망루피빙수,요거톡스타볼,레몬비스킷머랭,초코필로우크런치",82,44,0,0,12,0,False,True,초코,행복,먹방
gikEdOZa6vs,Vlog | 공무원 직장인 브이로그 | 지금 지쳤나요? 네... | 부서이동 후 여전히 적응 중 | 뉴 키보드 언박싱 | 연희동 나들이,75,27,0,0,9,0,True,False,공무원,직장인,지금
IRsShNhalJY,Room Tourㅣ숲속 카페같은 이층집 룸투어 🏡ㅣ집들이 브이로그,36,15,1,1,0,0,False,False,숲속,카페,층집
58ka9Ik3_k0,D-38•고2의 시험기간 브이로그 | 공부자극 | 시험기간 | 노래방 | 브이로그 | 스터디,51,24,0,0,6,0,False,False,시험,기간,공부자
5FWoZFIghJg,평범한 브이로그는 처음이라,14,6,0,0,0,0,False,False,처음,,
kJ7S-A-G9Ss,[먹방브이로그] 야식끊기vs행복한 돼지로 살기♪(๑ᴖ🐽ᴖ๑)♪ ❤︎( 엽떡로제 육회쫄면 훠궈 망고빙수 한신포차닭발 맛닭꼬 순대국 포장마차 쌀국수 분짜 미역국 파스타 카레 샌드위치),100,39,2,1,6,0,False,False,먹방,야식,돼지
8pwzBBXapow,vlog * 피시방 알바 브이로그 | 피시방 레전드 댓글모음 (아님),38,14,0,0,4,0,False,False,피시방,알바,레전드
wuzha3bWnh4,[다이어트브이로그#2] 3일동안 계란이랑 단백질바만 먹으면 얼마나 빠질까?🥚,42,19,1,1,4,0,True,False,다이어트,계란,단백질
APOjmyLGaVQ,"헬스장 알바생의 먹방 브이로그ㅣ퇴근 후엔 방구석에서 맛도리들과 함께💫ㅣ명랑핫도그,BBQ양념,황금올리브,피자스쿨 고구마+불닭,요아정+그릭요거트,연세딸기피쵸,레드벨벳,프로티원 딸기",98,53,1,1,9,0,False,False,딸기,헬스장,알바생
AqTb5SBsz6w,서바이벌 오디션 준비하는 유니를 위한 힐링 타임 아빠와 함께한 홍대 데이트 버스킹 마사지 고양이카페 가족 일상 브이로그 별난가족,71,25,0,0,0,0,False,False,가족,서바이벌,오디션
9a6fs3z5oX8,항저우 브이로그 126ㅣ👶🏻누가 저출산이래? BABY의 축복이 내리는 일상✨ㅣ🇨🇳초호화 중국 산후조리원 구경하기ㅣ한국-중국 출산문화차이🔥ㅣ우리의 자녀관은?,86,40,4,1,3,0,True,False,중국,항저우,누가
3ai1lMkah8Q,키성장주사 2주동안 열심히 맞고 키 재봤습니다.. 많이 컸을까요?? 주말일상 브이로그 | 뚜아뚜지TV,56,25,0,0,5,0,True,False,성장,주사,동안
ZqeGcVWPPy4,서울대 학식 브이로그!,12,5,0,0,1,0,False,True,서울대,학식,
nhlJMaIAwNc,무려 6번을 재업한 겨울방학 자기관리 브이로그,25,11,0,0,0,0,False,False,무려,재업,겨울방학
N8i7hFZ58uU,[vlog] 승헌쓰 선배랑 이틀 연속 데이트 ~♥,27,12,1,1,3,0,False,False,승헌,선배,이틀
vgWoHGIXrG8,후다닥 2박3일 제주도 브이로그 (브샤했음),24,10,0,0,2,0,False,False,후다닥,제주도,브샤했음
2ibmO1C-Oqg,"vlog | 마트에서 장보고 냉이김밥 🐙 매콤한 쭈꾸미 볶음 만드는 집순이의 삼시세끼 집밥, 요즘 푹 빠진 짜파구리, 추억의 감자샐러드, 쌀국수, 딤섬 최애 레시피",91,36,1,1,5,0,False,False,마트,장보고,냉이
l9o8UhkOQm8,[VLOG] 직장인 브이로그 I 아이폰16플러스 결국 샀다🍎… I 중소기업 사무직 I 사무직 브이로그 I 대표님과 스몰토크💬 I 건설업 경리 업무 I 직장인 일상 I 키보드asmr,100,38,2,1,2,0,False,False,직장인,사무직,아이폰
aoG_TDxarIU,"싱크로율 100%, 동숲 주민처럼 하루 살기 브이로그",29,11,0,0,2,0,False,False,싱크로,동숲,주민
w2IxQu6NYbg,브이로그 #174 10cm차이 기념 촬영👩🏻👦🏻기용이가 잡아온 랍스타🦞천안 이봉원짬뽕 🍜,49,22,6,1,1,0,False,False,차이,기념,촬영
n70U3xRae9k,VLOG. 달다... 휴학의 맛 🦦 | 에버랜드 눈치게임 성공 | 두번째 플리마켓 👚 | 인생 머리를 만나다.. | 자취 일상 브이로그,75,29,2,1,10,0,False,False,휴학,에버랜드,눈치
9lp-OYXZxaQ,"1,2,3 IVE 5 헤헤즈 퇴근 브이로그",23,12,0,0,2,0,False,False,헤헤,퇴근,
lbOK4XhDW1c,폭싹 속았수다 민옥이~ 엄지원의 촬영장 브이로그🎬,27,13,1,1,1,0,False,False,폭싹,수다,민옥
3QUVMmH-vZA,"[Vlog] 정원, 성훈, 니키의 농장 브이로그 - ENHYPEN (엔하이픈)",43,18,0,0,7,0,False,False,정원,성훈,니키
f-d7hU_76X8,그저 늙어갈뿐인 3년차 직장인 지옥철 출퇴근 브이로그(현실적인 직장인 브이로그),44,20,0,0,2,0,False,False,직장인,지옥,출퇴근
zzLxHxJy6hM,"VLOG 베이징덕 먹으러 베이징 당일치기 여행 옴🇨🇳 (난뤄구샹, 스치하이, 산리툰)",47,16,0,0,4,0,False,False,베이징,당일치기,여행
Dt5yWaIydO8,그냥.. 평범한 브이로그,13,5,0,0,2,0,False,False,,,
yqfsAceb3r0,vlog | 고2 전교회장의 제주도 수학여행 브이로그 EP.1,34,13,0,0,2,0,False,False,전교회장,제주도,수학여행
QbeRVvaJYo0,[이별 브이로그] 이거 보면 연락해 오빠…,23,12,0,0,2,0,False,False,이별,연락,오빠
fGtNLT7Y9zI,아이돌 집에서 하숙범 하는 브이로그 and more . .,32,12,0,0,2,0,False,False,아이돌,하숙,
mj7UzflYqdY,"아오니의 ""혼자 일본 여행"" 브이로그★ (feat.동숲 이치방쿠지)",37,18,0,0,5,0,False,False,오니,혼자,일본
sgCCjZbJOCA,인급동1위 유튜버랑 맞짱뜨는 취준생 브이로그,24,12,0,0,0,0,False,False,유튜버,맞짱,취준생
0NUOv-tMZ5A,"CAMCORDOOR | 대학생으로 하루 살기 | 명재현 휴일 Vlog | 자작곡 감상, 만화 카페 불짜계치 먹방, 동묘 - BOYNEXTDOOR (보이넥스트도어)",90,30,0,0,8,0,False,False,대학생,하루,살기
mwWSyXEozL4,일본어학교 졸업식 브이로그,14,5,0,0,0,0,False,False,일본어,학교,졸업식
mstf8MDtEso,알콜쓰레기 스무살의 과음 브이로그,18,7,0,0,0,0,False,False,알콜,쓰레기,스무살
mkRq5e1ZXGQ,"먹방 브이로그) 맛있는 거 먹을 때 제일 행복한 사람..💖 (미친피자+신라면 치즈볶음면, BBQ 황금올리브, 역대급김치찜, 스타벅스 맘모스, 케이크, 설빙 두바이초콜릿 빙수)",97,41,1,1,11,0,False,False,먹방,제일,사람
XumpjIucKYw,암환자 브이로그 | 항암 못한다구요...? 눈물날땐 떡볶이 | 유방암 2기,41,16,0,0,6,0,True,False,환자,항암,떡볶이
IntKMwUnXHc,엄채아 롯데월드 데이트 브이로그🎡,18,8,1,1,0,0,False,False,엄채,롯데,월드
BPlepcjGJcg,기분까지 좋아지는 봄맞이 집 청소 브이로그 🫧,25,9,1,1,0,0,False,False,기분,봄맞이,청소
XTVbnHWvkOU,항저우 브이로그 124ㅣ한중커플ㅣ🔥본격 국제연애 비추영상(?)ㅣ우울극복일상💦ㅣ아기돼지랑 호수나들이+스사찍기📸ㅣ마오쥔젤 먹방ㅣ썩렌타인 케이크,77,40,3,1,4,0,True,False,항저우,한중,커플
TuzMMbg4RCQ,[반포맘 초대] 🎀대치동 1년차 🎀 브이로그 - 사교육 엄청 시키는 엄마들 모임⚡️,46,20,3,1,3,0,False,False,반포,초대,대치동
-5sIfcoVkDE,"vlog * 피시방 알바 브이로그 | 출근 전, 보고 가면 좋은 영상 715위",43,16,0,0,3,0,False,False,피시방,알바,출근
ZaQuM3MBLGM,Cafe Vlog | 그가 떠납니다.. | 디저트카페 | 카페 창업 | dessert | 베이킹클래스 | 카페브이로그 | 카페폐업 | 카페 알바 | 디저트 | 먹방 | 알바브이로그,100,37,0,0,13,0,False,False,카페,디저트,알바
9B66dRxpoEY,"집밥 지분율 80%인데 엥겔지수 폭팔하는 브이로그 / 맘스터치 핫치즈빅싸이순살 / 찜닭, 잡채밥 / 송도 베이커리율교",65,28,0,0,5,0,False,False,집밥,분율,엥겔지수
bXHSAxoZJac,"남매 브이로그👶🏻 자기주도 이유식, 유치원 입학 준비, 부대찌개, 야식, 피자, 직원 회식, 7개월 아기, 스시 맛집, 닭갈비",70,29,2,1,8,0,False,False,남매,자기,주도
fWYLgbyYDMg,[vlog] 내신1점대 고3의 평일 24시간 브이로그 •여고 •07 •공부,41,20,0,0,2,0,False,False,내신,평일,여고
cC8f_9uE4CE,가평 아니고 🇨🇭스위스.. 다녀왔습니다^^ | Vlog,30,9,0,0,5,0,False,False,가평,스위스,
J01CKeLOPb0,관제실기 시험기간 브이로그 | 매일 도서관 출근 | 학교에 비행기가 있으면 좋은 점,46,18,0,0,2,0,False,False,관제,실기,시험
GZnI0ColHU0,vlog 뉴욕으로 떠난 조여울,16,6,0,0,0,0,False,False,뉴욕,여울,
lWW8UllNW_c,🔥주말 글램핑 브이로그 .. ⛺,17,7,2,1,2,0,False,False,주말,글램핑,
9Bl3RvJpya4,[IU TV] 얼굴만 봐도 즐거운 관식이네 회사 탐방 vlog (feat. 가요무대),47,19,0,0,5,0,False,False,얼굴,회사,탐방
pCsO2ytLZfA,맛있는 디저트와 음식이 먹고싶어 떠난 나홀로 부산여행 브이로그,34,12,0,0,0,0,False,False,디저트,음식,홀로
ZxfA_yMtYUM,vlog * 피시방 알바 브이로그 | 이게왜진짜,26,10,0,0,2,1,False,False,피시방,알바,게왜
KZ_4lxLLayc,다시 돌아온 수밤것의 출근 브이로그,19,8,0,0,0,0,False,False,밤것,출근,
jNFEjpSxubo,"밥먹은지 2시간 지나면 배고픈 땃쥐🫠 │ 이태원 19금 만화카페, 은혜즉석떡볶이, 양꼬치, 훠궈, 북경오리, 동파육, 스시 오마카세 먹방 브이로그",81,33,1,1,6,0,False,False,땃쥐,이태원,만화카페
y1o0TsK3RUY,sub) 개강 브이로그 🇬🇧 개맛있는 런던 마라샹궈ㅣ공항에서 오열 💦 일주일 결석한 강의 따라잡기,54,20,1,1,1,0,False,False,개강,개맛,런던
bSPZaig7ydc,"돌아온 일본 초등학생 도시락 브이로그 | 도쿄 에비포타,우미호타루",36,13,0,0,2,0,False,False,일본,초등학생,도시락
4fJdGWOV0_A,아오니의 혼자 서울 여행 브이로그 (feat.닌텐도 팝업),32,14,0,0,3,0,False,False,오니,혼자,서울
70cG-RspL0s,🏫 친구 0명 유사백수 개강 일주일 | 일상 브이로그 | 대학생 • 독서템 소개 • 시머스 향수,53,21,1,1,2,0,False,False,친구,유사,백수
Dh4PlGiK4j0,"ENG│새로 산 주방용품 언박싱. 팔뚝만한 김밥 만들어 금식 대비하는 자취일상.누드김밥과 황태라면, 에그콩피 │  골뱅이파스타 │  달래새우전",79,32,0,0,3,0,False,False,김밥,주방용품,언박싱
pewK1C-8fJ8,[뉴욕vlog] 18년 만에 고향에 찾아간 찰스! 아니 엔젤라,34,14,0,0,3,0,False,True,뉴욕,고향,찰스
_UWftBNsaow,[VLOG] 깔끔한 남자랑 살면 좋은점?🤔 (극과극 부부의 봄맞이 청소),40,20,1,1,5,0,True,False,남자,과극,부부
-7AHY8ZBUNE,의외로 야구장에서 해도 되는 행동! 그건 바로 부활이에요🙆🏻‍♀️ 롯데자이언츠 vs 엘지트윈스 개막전 야구 브이로그,64,21,3,1,1,0,False,True,야구장,해도,행동
ruD_eOOjL58,"P손에 이끌려 당일에 떠난 대만여행 v-log ✈️  /현지 팬 추천 대만 맛집 리스트 공개! 이대로만 가면 절대 실패 없음!🔥/ 우육면,버블티,야시장",84,37,2,1,7,0,False,True,대만,당일,여행
EGjI0xRsY9Q,브이로그 V-LOG,10,5,0,0,1,0,False,False,,,
